Date,Open,High,Low,Close,Adj Close,Volume
2017-11-21,9885.000000,9965.000000,9800.000000,9880.000000,8251.435547,10193000
2017-11-22,9880.000000,9940.000000,9840.000000,9890.000000,8259.787109,9824500
2017-11-23,9920.000000,9940.000000,9845.000000,9870.000000,8243.085938,4044500
2017-11-24,9935.000000,9960.000000,9830.000000,9960.000000,8318.249023,9735500
2017-11-27,9960.000000,10080.000000,9860.000000,10080.000000,8418.466797,9359500
2017-11-28,10050.000000,10200.000000,9985.000000,10200.000000,8518.687500,12345500
2017-11-29,10100.000000,10200.000000,10015.000000,10045.000000,8389.236328,15500500
2017-11-30,10000.000000,10000.000000,9860.000000,9860.000000,8302.507813,34073000
2017-12-01,9860.000000,9860.000000,9860.000000,9860.000000,8302.507813,0
2017-12-04,9860.000000,9980.000000,9815.000000,9860.000000,8302.507813,12580000
2017-12-05,9900.000000,10120.000000,9900.000000,9930.000000,8361.451172,9735500
2017-12-06,9895.000000,10010.000000,9895.000000,9930.000000,8361.451172,9752000
2017-12-07,9900.000000,10065.000000,9900.000000,10060.000000,8470.914063,5973500
2017-12-08,10060.000000,10180.000000,10045.000000,10180.000000,8571.960938,4845000
2017-12-11,10190.000000,10500.000000,10140.000000,10200.000000,8588.799805,8978500
2017-12-12,10200.000000,10300.000000,10190.000000,10220.000000,8605.641602,4723500
2017-12-13,10220.000000,10245.000000,10100.000000,10200.000000,8588.799805,4754000
2017-12-14,10200.000000,10280.000000,10125.000000,10200.000000,8588.799805,12766500
2017-12-15,10140.000000,10425.000000,10135.000000,10425.000000,8778.260742,21064000
2017-12-18,10430.000000,10595.000000,10265.000000,10595.000000,8921.406250,7777500
2017-12-19,10420.000000,10820.000000,10410.000000,10820.000000,9110.867188,14134000
2017-12-20,10820.000000,10820.000000,10580.000000,10600.000000,8925.617188,24206500
2017-12-21,10600.000000,10795.000000,10540.000000,10710.000000,9018.240234,14735000
2017-12-22,10700.000000,10835.000000,10660.000000,10825.000000,9115.075195,9648500
2017-12-25,10825.000000,10825.000000,10825.000000,10825.000000,9115.075195,0
2017-12-26,10825.000000,10825.000000,10825.000000,10825.000000,9115.075195,0
2017-12-27,10760.000000,10840.000000,10760.000000,10825.000000,9115.075195,15840500
2017-12-28,10830.000000,10880.000000,10610.000000,10880.000000,9161.386719,14564500
2017-12-29,10880.000000,11195.000000,10875.000000,11180.000000,9414.000977,12763000
